x,y,z,q1,q2,q3,q4,q5,q6,q7
2.602409750292823953e-01,4.257407385987763138e-01,9.537953108822155857e-01,1.519170413752318094e+00,4.022902326699373532e-01,-1.018895898572063086e+00,-9.185599411742244591e-01,-8.972221576139416399e-02,3.750120596656734140e+00,1.599327394265058100e+00
3.625657043818413250e-01,4.422449196887233425e-02,1.383311856777710291e-01,1.915678570728571284e+00,-8.473496547669459034e-01,-2.014602985253971745e+00,-2.472888968769892948e+00,-3.924567965777345790e-01,1.913290031851173412e+00,-1.769433439239433303e+00
5.057270610631258156e-01,5.245632129081760908e-01,1.883538342995604575e-01,1.622000003107841426e+00,1.298351388166317122e+00,-1.066067112505164616e+00,-1.546299345534373648e+00,5.468064469589246634e-01,2.705643337546404847e+00,-2.042544598827724656e+00
2.851719300303457993e-01,-6.664660243889644065e-01,6.500221330656195118e-01,-1.269633070230111516e+00,8.130079294050114314e-01,3.951062690114786058e-01,-3.702626738897154546e-01,-3.021086506372205882e-01,1.515523812932572989e+00,-1.121097181627111361e+00
-2.361925314793307806e-01,-4.698467937776992787e-01,1.007456485451660555e+00,-1.556427314038404175e+00,5.313005637062153674e-01,-1.363409305439301944e+00,-4.833111625502146680e-01,-1.328863195591684532e+00,2.520892450087581782e+00,3.950589181786350323e-01
2.744177301695628901e-01,-1.697838826507269694e-01,5.602574598881279178e-01,7.442902749103947890e-01,1.393448717326597475e+00,-1.912086912186222287e+00,-2.621403546827738573e+00,-2.190698529583235299e+00,2.710986698407598094e-01,1.983345507600731139e-01
-9.718461331567898598e-02,1.103173537197719295e-01,7.366157977812535229e-01,-1.936753705588534880e+00,1.082459785649458439e+00,-2.765994586011376377e+00,-1.946804477823692148e+00,-1.552561897746320696e-01,7.990951652509515890e-01,-8.348793641168188451e-01
4.024308175891854189e-01,4.940675458818243881e-01,1.900362751912456072e-01,-1.606146422548148101e+00,-7.688377532764263389e-01,2.473290925861458600e+00,-1.819056725704211841e+00,-6.612985303353879907e-01,2.286516511224402581e+00,9.510379180008410316e-01
-5.832105562571390234e-01,-4.091829775795956525e-01,7.653463897327626997e-01,9.286423013110054470e-01,-1.463309399502575214e+00,4.745435429269893035e-01,-8.624932767061750383e-01,1.712523113435146183e+00,2.201185595559419728e+00,-2.140459700588971614e+00
6.859861477566508992e-01,2.085333935099483171e-01,3.822516713948572731e-01,-2.411808563342062506e+00,-6.235587854950976894e-01,2.477275742045787599e+00,-1.652674795970719313e+00,2.291375818013472898e+00,1.715514898901106866e+00,1.478154309409375866e+00
3.770448599605430995e-01,-1.907105550790009763e-01,7.826060399760775832e-01,-8.617314405422371593e-02,7.354667692877203677e-01,-1.059263270990361328e+00,-4.005143438262517286e-01,-1.357487449740237162e+00,6.280467687944501359e-03,1.281434564760982386e+00
-1.722741634125312671e-01,6.867898660265638888e-01,6.438264618610691770e-01,1.023246260039094135e+00,5.529207095380863635e-01,1.085882523403413735e+00,-1.311621102733532052e+00,-2.229073745863087375e+00,2.505228829650413491e+00,-2.858768153214596097e+00
-3.079274810593380374e-01,-2.221159811284354746e-01,2.816939433144295957e-01,-1.837608359336464270e+00,-2.788245000915927641e-01,-7.047278099122551431e-01,-2.713985547594032877e+00,-4.232076421928927523e-01,2.333413391216377253e+00,-7.099768777010773135e-01
1.656130418841448015e-01,-7.083803078070172177e-01,6.184417228151675161e-01,1.208046006163192576e+00,-9.482305358869518308e-01,-2.063676372462269093e+00,-8.235515666900519172e-01,9.776107838413459206e-01,1.601298143027959808e+00,-2.104570351766170688e+00
6.077894107948821345e-01,1.784209609449748102e-01,8.257971930116824177e-01,9.483835856720936874e-01,8.808440627399791722e-01,-1.947116267313856230e+00,-1.002405487472517454e+00,-8.364387215039323920e-01,3.432082059519215189e+00,1.457420950003018856e+00
-2.188453690251441208e-01,8.047122118327504348e-03,7.364526372948790867e-01,-1.311001599667701578e+00,1.543604750403621217e+00,-2.750801411129747631e+00,-2.516343132550327155e+00,-1.495414185173499666e+00,2.742209834221093878e+00,1.516175687263952021e-01
1.377812457429423987e-01,3.543663737735948671e-01,2.397222795555514208e-01,-2.064088866617801443e-01,-9.777925141668253328e-01,1.485970437423587587e+00,-2.719563669437169651e+00,-1.463904968974265142e+00,3.022172044478084629e+00,-2.836309908834628857e-01
-3.381789078113631719e-01,-1.780108157305843042e-01,2.775875733304117299e-01,2.183281965858134388e+00,3.582643033144701228e-01,1.677621684476865216e+00,-2.508602777939707984e+00,-1.064810498682551509e+00,1.402805109236772818e+00,-3.360980111949096738e-02
5.902503201596518423e-01,-2.177970810144335134e-01,5.621468370016702298e-01,-1.595260601771886222e-01,1.136370739320630818e+00,-1.893534058101625117e+00,-5.156907701964139612e-01,2.254134228266915674e+00,2.676312450297770318e-01,-2.842592198414869209e+00
-4.958706254405269298e-02,2.487893618491688053e-01,1.019755271340228031e-01,-1.200789275483613139e+00,-3.497754384082474299e-01,2.725783862700849713e+00,-2.856702800242498341e+00,1.629882706732777908e+00,1.774876650072149564e+00,-2.144512797464457776e+00
-3.804543465040908234e-01,-3.940595034222205695e-01,5.774435947118584656e-01,-7.759306915622041778e-01,-4.197034414468707730e-01,-1.485740933249366957e+00,-2.187614363670836948e+00,-4.639902920122804808e-01,3.609763197433708548e+00,-2.383618633207080784e-01
4.005630814304812770e-02,1.806258364909886782e-01,2.881839906024688536e-01,2.608082260178767431e+00,-1.654404979739550363e+00,-2.513957161826766207e+00,-2.987524465501995241e+00,9.614832340920806963e-01,8.130570128078939973e-01,4.427785304119229437e-01
4.081482868890869420e-01,-2.039720024294911505e-01,7.506474174044710512e-01,1.711351389697829628e+00,-5.926877506474328428e-01,-1.473544607243550963e+00,-8.940488299911346637e-01,-1.396481856222893114e-01,5.453730404598140513e-01,-2.390342989380624061e+00
-3.461612554949446974e-01,4.668342193380545790e-01,6.565887400374508243e-01,1.374148501601803130e+00,1.270093068113330670e+00,2.261757881574673501e+00,-1.540222888538404389e+00,-2.007884242483234161e+00,8.335027868775837234e-01,-2.692825870127020238e-01
-1.247786758662279907e-02,5.317947785393895010e-01,9.343205751994789754e-01,2.038661622670925322e+00,5.292957039754870863e-01,-1.308244891412439603e+00,-8.024281366869043808e-01,-3.740596241923843657e-01,3.687037309436808741e+00,-4.129549654130379999e-01
-3.008730210411726391e-01,-3.056637040602758759e-01,4.353867222269516835e-01,1.953715645547146718e+00,-1.710755291083767782e+00,1.264374009949816635e+00,-1.875166193202479015e+00,-5.740069506897427232e-03,7.323744415778666861e-01,2.488589710534173438e+00
5.123564561318148802e-02,-3.246103844943451500e-01,1.113349117266038357e+00,-1.740256792469399683e+00,2.170315451608055834e-01,5.640205430039970658e-01,-4.948112746741655243e-01,-1.931340690615761524e-01,3.110860238695615898e+00,1.384566931306858706e-01
-2.944882669497200234e-01,2.165324459626773723e-01,8.956841676676364772e-01,2.644003016694653763e+00,7.633260060725146623e-01,2.387737882141383938e+00,-2.429760425417279990e-01,1.751214229706831826e+00,4.442032831184650199e-01,-2.176060701830179411e+00
3.814627448224778283e-01,-1.269777988032973481e-01,5.065524231991501702e-01,6.735047012211143880e-01,-8.062676499468320879e-01,-6.654274334329772778e-01,-2.549341641952494353e+00,1.519022615771886020e+00,3.203601845040066731e+00,-2.127529990789513992e+00
-2.800191077059858702e-01,5.689157451522023345e-01,6.043082393067564784e-01,9.754162361081686328e-02,-3.699744346885034396e-01,1.680348752380754984e+00,-1.675558107173392930e+00,1.337307630764513089e+00,2.116645510827784182e+00,2.770969572629259137e+00
-4.445723737555493105e-02,-4.734080106818906036e-02,-7.701975847299337430e-02,-4.656459579575944474e-01,1.718552144682096383e+00,-4.899488483995764199e-01,-2.522811377176183090e+00,1.634377664174353040e+00,1.007108919869055708e+00,3.809829104583140058e-01
-2.780416352786090894e-01,-4.809255586645587721e-01,6.961217874100299463e-01,8.460113728903468910e-01,-1.058337342268793169e+00,-2.697646214681525656e+00,-1.089129359765674820e-01,1.838958488993389206e+00,4.492451059422690185e-01,2.016134878133579722e+00
1.236015179179459078e-01,6.058655375408881216e-01,6.468698050972956359e-01,-1.401393611051177768e+00,-8.905685748715390648e-01,1.579539134120043098e+00,-7.981566009162763820e-01,2.004476850742243688e+00,4.980414177248169150e-01,1.434514299254146419e+00
