t,x,y,z,vx,vy,vz,wx,wy,wz,tvx,tvy,tvz
2.597727091989027876e-02,6.237337285757493799e-01,5.046729379100104579e-02,8.935615859290660379e-02,1.352384227308782161e-01,5.647551786349381403e-02,-4.175666023362562540e-01,6.400954008279186036e-02,2.239874023317658114e-01,1.084665941780958709e-01,1.352384227308782161e-01,5.647551786349381403e-02,-4.175666023362562540e-01
2.697639672450144466e-02,6.238265714456411315e-01,5.041563977702787080e-02,8.943855618717862221e-02,1.424724681630139822e-01,5.935517982856374636e-02,-4.452500746684625588e-01,6.795683935038579482e-02,2.356697201715162449e-01,1.147168075653878239e-01,1.424724681630139822e-01,5.935517982856374636e-02,-4.452500746684625588e-01
2.797552252911261056e-02,6.239249897721778071e-01,5.035775367817191261e-02,8.952576517917409937e-02,1.495232016674747921e-01,6.213723353919690939e-02,-4.722194730997497647e-01,7.194726938299719765e-02,2.469932828180558537e-01,1.209366440283322908e-01,1.495232016674747921e-01,6.213723353919690939e-02,-4.722194730997497647e-01
2.897464833372377299e-02,6.240289891609005490e-01,5.029344394131857188e-02,8.961777725587846688e-02,1.564242001254780579e-01,6.481995037265508852e-02,-4.984501026939148205e-01,7.598138492721037696e-02,2.579696230829670034e-01,1.271262533557654395e-01,1.564242001254780579e-01,6.481995037265508852e-02,-4.984501026939148205e-01
2.997377413833493889e-02,6.241385336867399936e-01,5.022347196210403403e-02,8.971467572802492574e-02,1.633745618359892238e-01,6.739789392836365023e-02,-5.237921360570709783e-01,8.006075647180872779e-02,2.686653351580985949e-01,1.332860875888172147e-01,1.633745618359892238e-01,6.739789392836365023e-02,-5.237921360570709783e-01
3.097289994294610133e-02,6.242536183770962532e-01,5.014787906655597538e-02,8.981647523534448674e-02,1.705403458049018217e-01,6.986603419396461567e-02,-5.481206614310939473e-01,8.418695950494310687e-02,2.791360751120860462e-01,1.394164281691766538e-01,1.705403458049018217e-01,6.986603419396461567e-02,-5.481206614310939473e-01
3.197202574755726723e-02,6.243742235058531431e-01,5.006704250143976381e-02,8.992322279694274501e-02,1.779211730866525620e-01,7.222456066557640664e-02,-5.714357638763993830e-01,8.835974158382475796e-02,2.893820613153104682e-01,1.455176886557443261e-01,1.779211730866525620e-01,7.222456066557640664e-02,-5.714357638763993830e-01
3.297115155216843313e-02,6.245003291687080127e-01,4.998133949112681940e-02,9.003496559009696587e-02,1.855165110813427054e-01,7.447376566797517250e-02,-5.937375272650250446e-01,9.257879860135670436e-02,2.994034714731744762e-01,1.515903193057642484e-01,1.855165110813427054e-01,7.447376566797517250e-02,-5.937375272650250446e-01
3.397027735677959903e-02,6.246319153047183992e-01,4.989114723923338685e-02,9.015175092400810886e-02,1.933256737910415968e-01,7.661404090778392573e-02,-6.150260349596400333e-01,9.684377677574163013e-02,3.092004429433101720e-01,1.576348058250241491e-01,1.933256737910415968e-01,7.661404090778392573e-02,-6.150260349596400333e-01
3.496940316139075799e-02,6.247689617157567987e-01,4.979684292993528244e-02,9.027362621526383024e-02,2.013478220857772005e-01,7.864587402122230619e-02,-6.353013705217238627e-01,1.011542746350347494e-01,3.187730730594028894e-01,1.636516681143113106e-01,2.013478220857772005e-01,7.864587402122230619e-02,-6.353013705217238627e-01
3.596852896600192390e-02,6.249114480838698915e-01,4.969880372895514598e-02,9.040063896501980556e-02,2.095819639782924571e-01,8.056984511474792054e-02,-6.545636184479897146e-01,1.055098449970792718e-01,3.281214194608594314e-01,1.696414590120444987e-01,2.095819639782924571e-01,8.056984511474792054e-02,-6.545636184479897146e-01
3.696765477061308980e-02,6.250593539865479942e-01,4.959740678421775684e-02,9.053283673789017105e-02,2.180269549066621015e-01,8.238662329691870401e-02,-6.728128649341794665e-01,1.099099969452655007e-01,3.372455004275873858e-01,1.756047630330026255e-01,2.180269549066621015e-01,8.238662329691870401e-02,-6.728128649341794665e-01
3.796678057522425570e-02,6.252126589099017417e-01,4.949302922617136724e-02,9.067026714255543851e-02,2.266814980239097721e-01,8.409696319982098989e-02,-6.900491986653777277e-01,1.143541978005451071e-01,3.461452952191758081e-01,1.815421951030696812e-01,2.266814980239097721e-01,8.409696319982098989e-02,-6.900491986653777277e-01
3.896590637983542160e-02,6.253713422597523275e-01,4.938604816777253381e-02,9.081297781407923764e-02,2.355441444937904083e-01,8.570170148840983160e-02,-7.062727116320408616e-01,1.188418750901362730e-01,3.548207444178109737e-01,1.874543992899151412e-01,2.355441444937904083e-01,8.570170148840983160e-02,-7.062727116320408616e-01
3.996503218444658057e-02,6.255353833706319699e-01,4.927684070413258094e-02,9.096101639793503779e-02,2.446132937919431871e-01,8.720175335612220802e-02,-7.214834999709652807e-01,1.233724185133480838e-01,3.632717502742810467e-01,1.933420475295289931e-01,2.446132937919431871e-01,8.720175335612220802e-02,-7.214834999709652807e-01
4.096415798905774647e-02,6.257047615127009355e-01,4.916578391182484242e-02,9.111443053574089235e-02,2.538871940116482206e-01,8.859810900513029330e-02,-7.356816648304577155e-01,1.279451819049505779e-01,3.714981770564684815e-01,1.992058383485285078e-01,2.538871940116482206e-01,8.859810900513029330e-02,-7.356816648304577155e-01
4.196328379366891237e-02,6.258794558965774524e-01,4.905325484785150181e-02,9.127326785269651577e-02,2.633639421734599861e-01,8.989183010961149245e-02,-7.488673132590059067e-01,1.325594851965141152e-01,3.794998513997484002e-01,2.050464955821534874e-01,2.633639421734599861e-01,8.989183010961149245e-02,-7.488673132590059067e-01
4.296240959828007827e-02,6.260594456760872895e-01,4.893963054826971915e-02,9.143757594671977906e-02,2.730414845380231270e-01,9.108404626042873597e-02,-7.610405591167919148e-01,1.372146163761381321e-01,3.872765626587567067e-01,2.108647670878674441e-01,2.730414845380231270e-01,9.108404626042873597e-02,-7.610405591167919148e-01
4.396153540289124417e-02,6.262447099489285574e-01,4.882528802647680133e-02,9.160740237927865459e-02,2.829176169214136505e-01,9.217595138961430512e-02,-7.722015240094172173e-01,1.419098334469849343e-01,3.948280632600144613e-01,2.166614234544776973e-01,2.829176169214136505e-01,9.217595138961430512e-02,-7.722015240094172173e-01
4.496066120750241007e-02,6.264352277552585058e-01,4.871060427115405517e-02,9.178279466791247621e-02,2.929899850123843796e-01,9.316880017307557771e-02,-7.823503382432587250e-01,1.466443663850312551e-01,4.021540690549335606e-01,2.224372567066907891e-01,2.929899850123843796e-01,9.316880017307557771e-02,-7.823503382432587250e-01
4.595978701211356904e-02,6.266309780742006508e-01,4.859595624387007262e-02,9.196380028043706079e-02,3.032560846909340135e-01,9.406390440994480406e-02,-7.914871418019044924e-01,1.514174190964452382e-01,4.092542596727608561e-01,2.281930790050141211e-01,3.032560846909340135e-01,9.406390440994480406e-02,-7.914871418019044924e-01
4.695891281672473494e-02,6.268319401221118525e-01,4.848171369578055390e-02,9.215046597618335722e-02,3.136831840941600169e-01,9.486342441509776346e-02,-7.996348969273301410e-01,1.562279090596608300e-01,4.161182637323117550e-01,2.339297181654239888e-01,3.136831840941600169e-01,9.486342441509776346e-02,-7.996348969273301410e-01
4.795803862133590084e-02,6.270380959463154324e-01,4.836817754073415021e-02,9.234283221172255585e-02,3.240699200597188523e-01,9.557394591960773067e-02,-8.069444964164095291e-01,1.610732981721363088e-01,4.226795788177868940e-01,2.396479886724881825e-01,3.240699200597188523e-01,9.557394591960773067e-02,-8.069444964164095291e-01
4.895716442594706674e-02,6.272494345912880132e-01,4.825548037015035818e-02,9.254092421656663625e-02,3.342447222687264796e-01,9.620094034254300652e-02,-8.135445900979008105e-01,1.659514736691589110e-01,4.288816609881405673e-01,2.453486442154931835e-01,3.342447222687264796e-01,9.620094034254300652e-02,-8.135445900979008105e-01
4.995629023055823265e-02,6.274659466521234075e-01,4.814371428749168735e-02,9.274476376989072846e-02,3.442048486232399673e-01,9.674528902757183191e-02,-8.194358594589065126e-01,1.708618639610119117e-01,4.347242085047164917e-01,2.510324317503669356e-01,3.442048486232399673e-01,9.674528902757183191e-02,-8.194358594589065126e-01
5.095541603516939161e-02,6.276876225582214142e-01,4.803297121541365983e-02,9.295437288425267841e-02,3.539474299366762722e-01,9.720789409403889081e-02,-8.246190281906916608e-01,1.758038895672386914e-01,4.402068947962347045e-01,2.567001089675021164e-01,3.539474299366762722e-01,9.720789409403889081e-02,-8.246190281906916608e-01
5.195454183978055751e-02,6.279144525648439057e-01,4.792334288666882242e-02,9.316977380260102470e-02,3.634694701406815942e-01,9.758967813086832921e-02,-8.290948629016856586e-01,1.807769630616052892e-01,4.453293686681216168e-01,2.623524441114140071e-01,3.634694701406815942e-01,9.758967813086832921e-02,-8.290948629016856586e-01
5.295366764439172341e-02,6.281464267439990090e-01,4.781492083494513767e-02,9.339098899505748896e-02,3.727678464971688754e-01,9.789158386737882578e-02,-8.328641738574283915e-01,1.857804890182164215e-01,4.500912545192449765e-01,2.679902157887151248e-01,3.727678464971688754e-01,9.789158386737882578e-02,-8.328641738574283915e-01
5.395279344900288931e-02,6.283835349746585974e-01,4.770779638563620029e-02,9.361804115546823457e-02,3.818393098154834742e-01,9.811457382026866902e-02,-8.359278157475434901e-01,1.908138639589525010e-01,4.544921525660925443e-01,2.736142127639599742e-01,3.818393098154834742e-01,9.811457382026866902e-02,-8.359278157475434901e-01
5.495191925361405522e-02,6.286257669323158659e-01,4.760206064654126656e-02,9.385095319772192302e-02,3.906804846746661508e-01,9.825962991600757646e-02,-8.382866884798139129e-01,1.958764763023954913e-01,4.585316390744317849e-01,2.792252337428993147e-01,3.906804846746661508e-01,9.825962991600757646e-02,-8.382866884798139129e-01
5.595104505822522112e-02,6.288731120778862094e-01,4.749780449849252267e-02,9.408974825182354895e-02,3.992878696507849989e-01,9.832775308788883895e-02,-8.399417380014506662e-01,2.009677063144222064e-01,4.622092665984949278e-01,2.848240871426771514e-01,3.992878696507849989e-01,9.832775308788883895e-02,-8.399417380014506662e-01
5.695017086283638008e-02,6.291255596459595090e-01,4.739511858590680915e-02,9.433444965972019591e-02,4.076578375493515871e-01,9.831996284697938626e-02,-8.408939571476247155e-01,2.060869260606475739e-01,4.655245642277315854e-01,2.904115908485008779e-01,4.076578375493515871e-01,9.831996284697938626e-02,-8.408939571476247155e-01
5.794929666744754598e-02,6.293830986901334246e-01,4.729408901167563711e-02,9.458508052288022716e-02,4.158178341114613374e-01,9.824816196686785019e-02,-8.412446638878704475e-01,2.112279052046477090e-01,4.685302166480597164e-01,2.959925934620674104e-01,4.158178341114613374e-01,9.824816196686785019e-02,-8.412446638878704475e-01
5.894842247205871189e-02,6.296457183813761738e-01,4.719477359279065920e-02,9.484166122927985276e-02,4.238752130605540347e-01,9.815169785114377654e-02,-8.413499825602221982e-01,2.163702544868213729e-01,4.714143053742427814e-01,3.015820862225654930e-01,4.238752130605540347e-01,9.815169785114377654e-02,-8.413499825602221982e-01
5.994754827666987779e-02,6.299134082342993102e-01,4.709718197524655203e-02,9.510420740424001262e-02,4.319077163156336829e-01,9.805870163397020778e-02,-8.414660037925978386e-01,2.214992946551780362e-01,4.743124436154282919e-01,3.071908668829295141e-01,4.319077163156336829e-01,9.805870163397020778e-02,-8.414660037925978386e-01
6.094667408128104369e-02,6.301861575826135375e-01,4.700131274945631987e-02,9.537273379952794505e-02,4.399139447302019001e-01,9.796948906022262538e-02,-8.415931408735746189e-01,2.266146464026760898e-01,4.772247875535457484e-01,3.128194224535216228e-01,4.399139447302019001e-01,9.796948906022262538e-02,-8.415931408735746189e-01
6.194579988589220265e-02,6.304639554287164716e-01,4.690716440277225424e-02,9.564725543630347993e-02,4.478925009733608076e-01,9.788437274975411717e-02,-8.417318133031370664e-01,2.317159288150161534e-01,4.801514955364198367e-01,3.184682370958625830e-01,4.478925009733608076e-01,9.788437274975411717e-02,-8.417318133031370664e-01
6.294492569050337549e-02,6.307467904424342020e-01,4.681473531888404732e-02,9.592778760405806793e-02,4.558419895815588596e-01,9.780366203256779523e-02,-8.418824469962528090e-01,2.368027593472732950e-01,4.830927281361740988e-01,3.241377920167627935e-01,4.558419895815588596e-01,9.780366203256779523e-02,-8.418824469962528090e-01
6.394405149511453446e-02,6.310346509597495324e-01,4.672402377718985061e-02,9.621434585951488261e-02,4.637610170118328101e-01,9.772766278354011460e-02,-8.420454744859328100e-01,2.418747538013254761e-01,4.860486482078035242e-01,3.298285653614248525e-01,4.637610170118328101e-01,9.772766278354011460e-02,-8.420454744859328100e-01
6.494317729972569342e-02,6.313275249815203383e-01,4.663502795214018171e-02,9.650694602548712253e-02,4.714516813150191332e-01,9.763029215407884043e-02,-8.419894189829439934e-01,2.469448880655822076e-01,4.888540412866861917e-01,3.355335387311048079e-01,4.714516813150191332e-01,9.763029215407884043e-02,-8.419894189829439934e-01
6.594230310433686626e-02,6.316254001721881561e-01,4.654774591255481792e-02,9.680560418969837155e-02,4.785914169921148265e-01,9.746898033189825561e-02,-8.413356506433794513e-01,2.520345325184190077e-01,4.912381658531541073e-01,3.412409821120695463e-01,4.785914169921148265e-01,9.746898033189825561e-02,-8.413356506433794513e-01
6.694142890894802522e-02,6.319282656956611843e-01,4.646202777353642538e-02,9.711032150979098665e-02,4.850548252189294529e-01,9.722718872832303294e-02,-8.399364353081411050e-01,2.571518429525285754e-01,4.930945434133077176e-01,3.469464007453952892e-01,4.850548252189294529e-01,9.722718872832303294e-02,-8.399364353081411050e-01
6.794055471355919806e-02,6.322361045683931868e-01,4.637819053552692111e-02,9.742114742046047160e-02,4.909442577376016970e-01,9.694203066824702564e-02,-8.381237141249789913e-01,2.622776366953490368e-01,4.945991221918156766e-01,3.526639078976284702e-01,4.909442577376016970e-01,9.694203066824702564e-02,-8.381237141249789913e-01
6.893968051817035703e-02,6.325489070859154905e-01,4.629593833440908551e-02,9.773806863782834309e-02,4.963760734623176574e-01,9.665069196454216527e-02,-8.362510528423221512e-01,2.673923097605377386e-01,4.959407915684551083e-01,3.584072775884783457e-01,4.963760734623176574e-01,9.665069196454216527e-02,-8.362510528423221512e-01
6.993880632278151599e-02,6.328666601999370922e-01,4.621521581744188201e-02,9.806109695282909378e-02,5.013594501865074049e-01,9.635577030829704792e-02,-8.343420841726774118e-01,2.724942596629479352e-01,4.971319772212134391e-01,3.641776342569866265e-01,5.013594501865074049e-01,9.635577030829704792e-02,-8.343420841726774118e-01
7.093793212739268883e-02,6.331893509882765558e-01,4.613593012190539411e-02,9.839024064505648426e-02,5.058962962451153400e-01,9.605711908263434018e-02,-8.323962549742953687e-01,2.775832748378118664e-01,4.981722134882289321e-01,3.699750593133027121e-01,5.058962962451153400e-01,9.605711908263434018e-02,-8.323962549742953687e-01
7.193705793200384779e-02,6.335169661966768562e-01,4.605798849913048804e-02,9.872550835081236875e-02,5.099886477454297351e-01,9.575454772030993211e-02,-8.304129727324616184e-01,2.826591583626837378e-01,4.990610159144228675e-01,3.757996086735962971e-01,5.099886477454297351e-01,9.575454772030993211e-02,-8.304129727324616184e-01
7.293618373661502063e-02,6.338494922472900361e-01,4.598129832360758895e-02,9.906690906538470620e-02,5.136386683243739926e-01,9.544782513706170923e-02,-8.283916044673459433e-01,2.877217269781726094e-01,4.997978808613021684e-01,3.816513142747801623e-01,5.136386683243739926e-01,9.544782513706170923e-02,-8.283916044673459433e-01
7.393530954122617960e-02,6.341869152464386650e-01,4.590576710219518297e-02,9.941445214512821538e-02,5.168486488976494764e-01,9.513668314576781415e-02,-8.263314756239961145e-01,2.927708101088148940e-01,5.003822851123659321e-01,3.875301855814765606e-01,5.168486488976494764e-01,9.513668314576781415e-02,-8.263314756239961145e-01
7.493443534583733856e-02,6.345292209916543191e-01,4.583130248343236790e-02,9.976814730934920050e-02,5.196210073997370449e-01,9.482081984813585385e-02,-8.242318689450691682e-01,2.978062488841849431e-01,5.008136854740684596e-01,3.934362110837040238e-01,5.196210073997370449e-01,9.482081984813585385e-02,-8.242318689450691682e-01
