t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,tau_ext0,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_cmd0,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,sigma_min,tau_ext_max
0.03802380,-0.00008614,-0.79091829,0.00005405,-2.21391968,-0.00097648,1.58951669,0.78542745,0.01512106,0.00802973,0.01620254,0.32737819,-0.00013939,0.06456165,-0.00011031,0.07388552,-2.01253191,-0.42542823,0.60029691,0.68027388,0.19036529,-0.05849562,2.67588510,5.01050479,2.72353152,-3.89569854,0.88410526,-0.00656409,-0.01651382,0.21478596,2.01253191
0.03902443,-0.00006205,-0.79091660,0.00007437,-2.21361605,-0.00097622,1.58958167,0.78542670,0.01762329,0.00613115,0.01776830,0.32169606,0.00002955,0.06456662,-0.00022744,0.07607113,-1.95207869,-0.42293238,0.57965475,0.67846630,0.18971313,-0.05869809,2.72995184,5.17349313,2.79231242,-3.93639595,0.88633920,-0.01730032,-0.01502849,0.21476206,1.95207869
0.04002506,-0.00003732,-0.79090066,0.00009665,-2.21330813,-0.00097983,1.58963951,0.78542973,0.02037953,0.00913035,0.01958448,0.31683909,-0.00124781,0.06362862,0.00089842,0.07808911,-1.88661212,-0.42097882,0.55652983,0.67657883,0.18889512,-0.05891391,2.78120930,5.26756827,2.85757289,-3.98901159,0.89893475,-0.02099686,-0.02242532,0.21473782,1.88661212
0.04102568,-0.00001209,-0.79088793,0.00011741,-2.21299827,-0.00097520,1.58969952,0.78543048,0.02203245,0.01016539,0.02020952,0.31371380,0.00036242,0.06196400,0.00042780,0.07959919,-1.82204951,-0.42006459,0.53415320,0.67469205,0.18810662,-0.05910740,2.84859962,5.38792680,2.93949414,-4.06602845,0.89093745,-0.01980682,-0.01851362,0.21471342,1.82204951
0.04202631,0.00001519,-0.79086939,0.00014049,-2.21269308,-0.00097294,1.58975957,0.78543124,0.02329428,0.01273835,0.02097212,0.31127136,0.00053635,0.05986671,0.00057753,0.08126097,-1.76175521,-0.41899362,0.51319971,0.67286005,0.18731429,-0.05927587,2.92211601,5.48610425,3.01939418,-4.15201689,0.89315788,-0.01557670,-0.01893055,0.21468937,1.76175521
0.04302693,0.00005004,-0.79085059,0.00016998,-2.21239451,-0.00097345,1.58981772,0.78543048,0.02643397,0.01429291,0.02407014,0.30740158,0.00036225,0.05980671,-0.00011329,0.08329236,-1.70678429,-0.41753942,0.49322544,0.67105550,0.18644541,-0.05944052,2.96955915,5.59793218,3.06605894,-4.21711379,0.89802679,-0.02551816,-0.01337206,0.21466584,1.70678429
0.04402756,0.00008366,-0.79083299,0.00019201,-2.21209784,-0.00097185,1.58988036,0.78543048,0.02904657,0.01565179,0.02311349,0.30413134,0.00075989,0.06039130,0.00004381,0.08529327,-1.65721422,-0.41625028,0.47398010,0.66922019,0.18549307,-0.05962200,3.02482744,5.71239373,3.16948101,-4.29031840,0.89878378,-0.04020414,-0.01377492,0.21464244,1.65721422
0.04502819,0.00012110,-0.79080823,0.00022432,-2.21179979,-0.00097334,1.58993912,0.78543124,0.03178883,0.01883838,0.02548893,0.30173515,0.00000308,0.06047816,-0.00030327,0.08737439,-1.61271312,-0.41439437,0.45494148,0.66733826,0.18442582,-0.05982473,3.07911803,5.80021253,3.22594615,-4.37581243,0.90785985,-0.05121054,-0.01067002,0.21461892,1.61271312
0.04602881,0.00015785,-0.79078453,0.00025590,-2.21151496,-0.00097105,1.59000102,0.78542670,0.03310780,0.02046052,0.02805565,0.29501047,0.00085440,0.06104054,-0.00150722,0.08943512,-1.57462852,-0.41240277,0.43692227,0.66542105,0.18332631,-0.06004906,3.15422149,5.91067004,3.27989822,-4.39919368,0.90553161,-0.06565789,-0.00129128,0.21459644,1.57462852
0.04702944,0.00020107,-0.79076395,0.00028833,-2.21123391,-0.00097257,1.59006384,0.78542897,0.03581754,0.02088255,0.02966640,0.29181318,0.00008587,0.06121411,-0.00027667,0.09117374,-1.54279441,-0.41141850,0.42087248,0.66348264,0.18233575,-0.06028662,3.20986347,6.03630456,3.34666965,-4.47140789,0.91476655,-0.07751870,-0.00927445,0.21457424,1.54279441
