t,x,y,z,vx,vy,vz,wx,wy,wz,tvx,tvy,tvz
2.999799129561431590e-02,7.709033156297833145e-01,-9.864318145575538821e-02,4.745301919339092178e-01,3.515385180837081736e-01,2.382869784988002615e-01,-3.629816544965286940e-01,-5.681761829817440212e-02,3.440299088779602554e-01,1.683155089006130034e-01,3.515385180837081736e-01,2.382869784988002615e-01,-3.629816544965286940e-01
3.099792433880146220e-02,7.709242236814229932e-01,-9.874828612480943124e-02,4.744789503609915804e-01,3.706750535586210149e-01,2.491436634796434513e-01,-3.812683825069344001e-01,-5.919702832485936039e-02,3.621923227269158163e-01,1.762422992110541098e-01,3.706750535586210149e-01,2.491436634796434513e-01,-3.812683825069344001e-01
3.199785738198860502e-02,7.709460444580276128e-01,-9.885839710063303032e-02,4.744253348714411178e-01,3.898097166517395795e-01,2.599957089222570406e-01,-3.995697029638291542e-01,-6.157112125408066572e-02,3.803594849408202250e-01,1.841728922307771799e-01,3.898097166517395795e-01,2.599957089222570406e-01,-3.995697029638291542e-01
3.299779042517574784e-02,7.709687719247995119e-01,-9.897351831675840761e-02,4.743693463855746528e-01,4.089424549221860605e-01,2.708429322688596930e-01,-4.178861790759959005e-01,-6.393966600196522576e-02,3.985315625273589957e-01,1.921075006896892368e-01,4.089424549221860605e-01,2.708429322688596930e-01,-4.178861790759959005e-01
3.399772346836289066e-02,7.709923997779191129e-01,-9.909365386185280122e-02,4.743109858664447120e-01,4.280732151535379670e-01,2.816851513202645596e-01,-4.362183728532788018e-01,-6.630243119405548891e-02,4.167087211806584368e-01,2.000463378656118230e-01,4.280732151535379670e-01,2.816851513202645596e-01,-4.362183728532788018e-01
3.499765651155003349e-02,7.710169214442120778e-01,-9.921880797943430363e-02,4.742502543202895549e-01,4.472019433220507101e-01,2.925221842579383003e-01,-4.545668450519124715e-01,-6.865918515864583016e-02,4.348911252216428047e-01,2.079896176129021890e-01,4.472019433220507101e-01,2.925221842579383003e-01,-4.545668450519124715e-01
3.599758955473718325e-02,7.710423300808080249e-01,-9.934898506757551540e-02,4.741871527970061284e-01,4.663285845651048422e-01,3.033538496662169237e-01,-4.729321551197201989e-01,-7.100969592026523669e-02,4.530789375383251216e-01,2.159375543910412310e-01,4.663285845651048422e-01,3.033538496662169237e-01,-4.729321551197201989e-01
3.699752259792432607e-02,7.710687019917198404e-01,-9.948363834619414203e-02,4.741216152748994328e-01,4.853648874657491841e-01,3.141789997951444646e-01,-4.914360866385431015e-01,-7.335366239436226510e-02,4.712428420616735503e-01,2.238905484144124713e-01,4.853648874657491841e-01,3.141789997951444646e-01,-4.914360866385431015e-01
3.799745564111146889e-02,7.710958316277909397e-01,-9.962408259520909304e-02,4.740538024160312336e-01,5.041640582245853208e-01,3.249941069276272021e-01,-5.102815147509469629e-01,-7.568914194081508007e-02,4.893343901502326676e-01,2.318483800142464579e-01,5.041640582245853208e-01,3.249941069276272021e-01,-5.102815147509469629e-01
3.899738868429861172e-02,7.711237604652865230e-01,-9.976999640871470065e-02,4.739836754814383823e-01,5.226669549636375756e-01,3.357985817472454171e-01,-5.295497584973872796e-01,-7.801588653012923869e-02,5.073340119828545491e-01,2.398113541234853097e-01,5.226669549636375756e-01,3.357985817472454171e-01,-5.295497584973872796e-01
3.999732172748575454e-02,7.711524393709023872e-01,-9.992165501621891321e-02,4.739112683135912052e-01,5.408733188949765847e-01,3.465923146997051951e-01,-5.492412270432681654e-01,-8.033352493595405375e-02,5.252418649706956932e-01,2.477795697457280955e-01,5.408733188949765847e-01,3.465923146997051951e-01,-5.492412270432681654e-01
4.099725477067289736e-02,7.711818187684588155e-01,-1.000793336845976766e-01,4.738366146282602664e-01,5.587828804005672279e-01,3.573751841131285190e-01,-5.693563207589824593e-01,-8.264166229347920389e-02,5.430581089352695123e-01,2.557531125204779432e-01,5.587828804005672279e-01,3.573751841131285190e-01,-5.693563207589824593e-01
4.199718781386004712e-02,7.712118486224130987e-01,-1.002433077080130824e-01,4.737597480044523079e-01,5.763953590081021261e-01,3.681470563010684760e-01,-5.898954312099361497e-01,-8.493988008123870559e-02,5.607829060667465226e-01,2.637320546918338060e-01,5.763953590081021261e-01,3.681470563010684760e-01,-5.898954312099361497e-01
4.299712085704718995e-02,7.712424784202571715e-01,-1.004138523974829333e-01,4.736807018751076903e-01,5.937104633651930641e-01,3.789077856692614210e-01,-6.108589411484472986e-01,-8.722773610198580885e-02,5.784164208813811214e-01,2.717164550735766126e-01,5.937104633651930641e-01,3.789077856692614210e-01,-6.108589411484472986e-01
4.399705390023433277e-02,7.712736571537976982e-01,-1.005912430700978133e-01,4.735995095185551174e-01,6.107278912116791414e-01,3.896572148260544211e-01,-6.322472245073300634e-01,-8.950476446258237573e-02,5.959588201777596961e-01,2.797063590106174114e-01,6.107278912116791414e-01,3.896572148260544211e-01,-6.322472245073300634e-01
4.499698694342147559e-02,7.713053332993232702e-01,-1.007757550378799438e-01,4.735162040507318038e-01,6.274473293498089577e-01,4.003951746964438674e-01,-6.540606463949761862e-01,-9.177047555285046398e-02,6.134102729915830166e-01,2.877017983367775589e-01,6.274473293498089577e-01,4.003951746964438674e-01,-6.540606463949761862e-01
4.599691998660861841e-02,7.713374547966640460e-01,-1.009676635962805519e-01,4.734308184181578727e-01,6.438684536120513613e-01,4.111214846396735734e-01,-6.762995630917527645e-01,-9.402435602333218678e-02,6.307709505486821522e-01,2.957027913288728382e-01,6.438684536120513613e-01,4.111214846396735734e-01,-6.762995630917527645e-01
4.699685302979576124e-02,7.713699690271437204e-01,-1.011672440123098093e-01,4.733433853916731993e-01,6.599909288262943985e-01,4.218359525703274659e-01,-6.989643220475268981e-01,-9.626586876190651454e-02,6.480410262159723711e-01,3.037093426570710020e-01,6.599909288262943985e-01,4.218359525703274659e-01,-6.989643220475268981e-01
4.799678607298291100e-02,7.714028227904279333e-01,-1.013747715122947785e-01,4.732539375609300381e-01,6.758144087781954301e-01,4.325383750828635243e-01,-7.220552618801340250e-01,-9.849445286921268417e-02,6.652206754500465946e-01,3.117214433314904332e-01,6.758144087781954301e-01,4.325383750828635243e-01,-7.220552618801340250e-01
4.899671911617005382e-02,7.714359622802774430e-01,-1.015905212692600201e-01,4.731625073296480410e-01,6.913385361704377230e-01,4.432285375795281812e-01,-7.455727123746003215e-01,-1.007095236328320736e-01,6.823100757431107555e-01,3.197390706450119469e-01,6.913385361704377230e-01,4.432285375795281812e-01,-7.455727123746003215e-01
