t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
2.300000000000000100e-01,-2.446792624973148051e-06,-9.785728840573854059e-01,3.142865581792516202e-06,-2.684484347615775368e-01,1.094238169563136632e-05,3.115508542711501239e+00,1.473791313258632526e-05,-3.026219073291120794e-05,2.650128428921195711e-01,3.887129489984907538e-05,1.918992345344819328e-02,1.353365375413238239e-04,-3.029129417126797397e-01,1.822800729703437123e-04,-2.350121479474306658e-04,2.058054487575446512e+00,3.018693057795268815e-04,1.490263930177730956e-01,1.051005548939480281e-03,-2.352381613785548442e+00,1.415562800950394967e-03
2.399999999999999911e-01,-2.761275265288214914e-06,-9.758188885094200016e-01,3.546813450618671543e-06,-2.682490143743244126e-01,1.234878984475482096e-05,3.112360691898711007e+00,1.663215532841634753e-05,-3.264523162763301151e-05,2.858816705263194646e-01,4.193227241448720582e-05,2.070106231182617523e-02,1.459938130293235762e-04,-3.267662685921761678e-01,1.966339864730036111e-04,-2.415487759208954726e-04,2.115297215885004523e+00,3.102654987666666380e-04,1.531714131705289583e-01,1.080238217682209789e-03,-2.417810756896799251e+00,1.454935265240872100e-03
2.500000000000000000e-01,-3.099910432805311811e-06,-9.728533838227630959e-01,3.981784850283449869e-06,-2.680342783361885362e-01,1.386321130438988505e-05,3.108971083536735680e+00,1.867187689352469608e-05,-3.509222609530536930e-05,3.073105540510633893e-01,4.507539725996467474e-05,2.225275554316172300e-02,1.569370973923222667e-04,-3.512597462488077915e-01,2.113731153768559612e-04,-2.478033570872373282e-04,2.170069996567703718e+00,3.182994071884884626e-04,1.571375812141711792e-01,1.108209535631220991e-03,-2.480416719465691866e+00,1.492608860039805084e-03
2.600000000000000089e-01,-3.463323610368559532e-06,-9.696708925028020287e-01,4.448583203391089737e-06,-2.678038300146851625e-01,1.548844331691605916e-05,3.105333456781805168e+00,2.086084533633381690e-05,-3.760036850434792568e-05,3.292749239165861375e-01,4.829706564786106408e-05,2.384322403451022421e-02,1.681538434731411188e-04,-3.763652913847438386e-01,2.264805603525128850e-04,-2.537788587446265375e-04,2.222398814924171795e+00,3.259748424915350114e-04,1.609267787779994074e-01,1.134932772938161997e-03,-2.540229203010720305e+00,1.528601458452674136e-03
2.700000000000000178e-01,-3.852112372871177962e-06,-9.662661814511571690e-01,4.947976085233944001e-06,-2.675572904743778180e-01,1.722715831664862224e-05,3.101441830138053302e+00,2.320266006562752106e-05,-4.016688289616197021e-05,3.517504704261282256e-01,5.159371190422127500e-05,2.547070748922000347e-02,1.796316368161174728e-04,-4.020551177173377067e-01,2.419396008016408753e-04,-2.594782481912335137e-04,2.272309656255035115e+00,3.332956161223486150e-04,1.645408874913132091e-01,1.160421199754681134e-03,-2.597277909050378586e+00,1.562930933584958824e-03
2.800000000000000266e-01,-4.266846683985316581e-06,-9.626342593671511905e-01,5.480695604937155172e-06,-2.672942982887148156e-01,1.908190525685383526e-05,3.097290498487363042e+00,2.570075417786160505e-05,-4.278902298513054942e-05,3.747131437359368378e-01,5.496180846955572440e-05,2.713346442693242988e-02,1.913581956671054631e-04,-4.283017359791284062e-01,2.577336948569616359e-04,-2.649044927252284533e-04,2.319828505860920043e+00,3.402655395274714416e-04,1.679817889834120392e-01,1.184688086232425644e-03,-2.651592539103158952e+00,1.595615158542137632e-03
2.899999999999999800e-01,-4.708069192891854462e-06,-9.587703741492792364e-01,6.047438786603283748e-06,-2.670145093518667134e-01,2.105511093676405514e-05,3.092874030119216133e+00,2.835839624447430686e-05,-4.546407215861839231e-05,3.981391538552653819e-01,5.839786589884020260e-05,2.882977218358185462e-02,2.033213709734755311e-04,-4.550779539178395616e-01,2.738464793822515124e-04,-2.700605596447819864e-04,2.364981349042456937e+00,3.468884241534464724e-04,1.712513648835957136e-01,1.207746702523044722e-03,-2.703202794687558530e+00,1.626672006429692296e-03
2.999999999999999889e-01,-5.176295531010235424e-06,-9.546700102966791945e-01,6.648867950456986115e-06,-2.667175966905633300e-01,2.314908132859295358e-05,3.088187263760541867e+00,3.117869209919694827e-05,-4.818934347697193741e-05,4.220049706463734895e-01,6.189843286151595469e-05,3.055792691139561784e-02,2.155091463841146953e-04,-4.823568762963797996e-01,2.902617699723415733e-04,-2.749494162480642010e-04,2.407794171100270386e+00,3.531680814468157671e-04,1.743514968211636873e-01,1.229610318778185827e-03,-2.752138377322068674e+00,1.656119350353101082e-03
3.099999999999999978e-01,-5.672014608728273547e-06,-9.503288863106008622e-01,7.285611093989654313e-06,-2.664032502759305920e-01,2.536600290455064114e-05,3.083225305605563626e+00,3.416458662536441465e-05,-5.096217967351932606e-05,4.462873238245270713e-01,6.546009614148962628e-05,3.231624357889406607e-02,2.279096382494264438e-04,-5.101119048928428601e-01,3.069635609531179356e-04,-2.795740298332455645e-04,2.448292957334988085e+00,3.591083228541218191e-04,1.772840664254154985e-01,1.250292205149496853e-03,-2.798428988525183847e+00,1.683975063417844208e-03
3.200000000000000067e-01,-6.195688912131973071e-06,-9.457429520958767766e-01,7.958262273104075302e-06,-2.660711768353278273e-01,2.770794396385885901e-05,3.077983526345649423e+00,3.731886554322574645e-05,-5.377995315457042267e-05,4.709632029579984280e-01,6.907948063713333130e-05,3.410305597089054869e-02,2.405110956213307337e-04,-5.383167385005072081e-01,3.239360253815212493e-04,-2.839373676984964360e-04,2.486503693047237729e+00,3.647129598219071215e-04,1.800509553256508244e-01,1.269805631788626342e-03,-2.842104329815398067e+00,1.710257018729401243e-03
