t,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
3.498688576497922115e-02,-2.593844367408287051e-03,-1.568703077816295810e+00,-1.729229578272191512e-03,-1.021473509972994076e-01,2.593844367408287051e-03,3.136541540843456044e+00,3.458459156544383024e-03,-2.068819718848128320e-01,1.034409859424064160e-01,-1.379213145898752491e-01,-1.656085434739200668e-01,2.068819718848128320e-01,-2.758426291797504981e-01,2.758426291797504981e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-5.445292344088618286e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
3.598651107255006198e-02,-2.805147091844332943e-03,-1.568597426454077848e+00,-1.870098061229555223e-03,-1.023155662048480519e-01,2.805147091844332943e-03,3.136259803877540886e+00,3.740196122459110446e-03,-2.158785996529503926e-01,1.079392998264751963e-01,-1.439190664353002802e-01,-1.708956538101708278e-01,2.158785996529503926e-01,-2.878381328706005604e-01,2.878381328706005604e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-5.132909435472730486e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
3.698613638012089588e-02,-3.025443071816652073e-03,-1.568487278464091750e+00,-2.016962047877767904e-03,-1.024889104578164956e-01,3.025443071816652073e-03,3.135966075904244477e+00,4.033924095755535809e-03,-2.248752274210878976e-01,1.124376137105439488e-01,-1.499168182807252836e-01,-1.758704983291898005e-01,2.248752274210878976e-01,-2.998336365614505672e-01,2.998336365614505672e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-4.820526526856845351e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
3.798576168769172978e-02,-3.254732307325246179e-03,-1.568372633846337294e+00,-2.169821538216830208e-03,-1.026670716074788853e-01,3.254732307325246179e-03,3.135660356923566372e+00,4.339643076433660415e-03,-2.338718551892254027e-01,1.169359275946127014e-01,-1.559145701261502870e-01,-1.805330770309769850e-01,2.338718551892254027e-01,-3.118291402523005740e-01,3.118291402523005740e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-4.508143618240960215e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
3.898538699526256368e-02,-3.493014798370115692e-03,-1.568253492600815147e+00,-2.328676532246742783e-03,-1.028497375051093815e-01,3.493014798370115692e-03,3.135342646935506572e+00,4.657353064493485566e-03,-2.428684829573629078e-01,1.214342414786814539e-01,-1.619123219715752904e-01,-1.848833899155324090e-01,2.428684829573629078e-01,-3.238246439431505808e-01,3.238246439431505808e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-4.195760709625075080e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
3.998501230283339758e-02,-3.740290544951260180e-03,-1.568129854727524419e+00,-2.493527029967505630e-03,-1.030365960019821309e-01,3.740290544951260180e-03,3.135012945940065077e+00,4.987054059935011260e-03,-2.518651107255003851e-01,1.259325553627501926e-01,-1.679100738170002938e-01,-1.889214369828560447e-01,2.518651107255003851e-01,-3.358201476340005875e-01,3.358201476340005875e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-3.883377801009189501e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
4.098463761040423148e-02,-3.996559547068679642e-03,-1.568001720226465778e+00,-2.664373031379118750e-03,-1.032273349493712938e-01,3.996559547068679642e-03,3.134671253937241886e+00,5.328746062758237499e-03,-2.608617384936378625e-01,1.304308692468189312e-01,-1.739078256624252972e-01,-1.926472182329479199e-01,2.608617384936378625e-01,-3.478156513248505943e-01,3.478156513248505943e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-3.570994892393304365e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
4.198426291797507232e-02,-4.261821804722375380e-03,-1.567869089097639002e+00,-2.841214536481582575e-03,-1.034216421985510032e-01,4.261821804722375380e-03,3.134317570927037000e+00,5.682429072963165149e-03,-2.698583662617754508e-01,1.349291831308877254e-01,-1.799055775078503561e-01,-1.960607336658080346e-01,2.698583662617754508e-01,-3.598111550157007121e-01,3.598111550157007121e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-3.258611983777416565e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
4.298388822554590621e-02,-4.536077317912344357e-03,-1.567731961341043867e+00,-3.024051545274895371e-03,-1.036192056007954332e-01,4.536077317912344357e-03,3.133951896909450419e+00,6.048103090549790742e-03,-2.788549940299129837e-01,1.394274970149564918e-01,-1.859033293532753595e-01,-1.991619832814363888e-01,2.788549940299129837e-01,-3.718066587065507189e-01,3.718066587065507189e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-2.946229075161531430e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
4.398351353311674011e-02,-4.819326086638588309e-03,-1.567590336956680597e+00,-3.212884057759058005e-03,-1.038197130073787167e-01,4.819326086638588309e-03,3.133574231884481698e+00,6.425768115518116011e-03,-2.878516217980504610e-01,1.439258108990252305e-01,-1.919010811987003629e-01,-2.019509670798329271e-01,2.878516217980504610e-01,-3.838021623974007257e-01,3.838021623974007257e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-2.633846166545645850e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
4.498313884068757401e-02,-5.111568110901108103e-03,-1.567444215944549413e+00,-3.407712073934070912e-03,-1.040228522695750141e-01,5.111568110901108103e-03,3.133184575852131726e+00,6.815424147868141824e-03,-2.968482495661879383e-01,1.484241247830939692e-01,-1.978988330441253662e-01,-2.044276850609977048e-01,2.968482495661879383e-01,-3.957976660882507325e-01,3.957976660882507325e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-2.321463257929760715e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
4.598276414825840791e-02,-5.412803390699902004e-03,-1.567293598304650093e+00,-3.608535593799933657e-03,-1.042283112386584998e-01,5.412803390699902004e-03,3.132782928812400502e+00,7.217071187599867314e-03,-3.058448773343254712e-01,1.529224386671627356e-01,-2.038965848895503696e-01,-2.065921372249307497e-01,3.058448773343254712e-01,-4.077931697791007393e-01,4.077931697791007393e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-2.009080349313875580e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
4.698238945582924181e-02,-5.723031926034971746e-03,-1.567138484036982637e+00,-3.815354617356646674e-03,-1.044357777659032926e-01,5.723031926034971746e-03,3.132369290765286696e+00,7.630709234713293349e-03,-3.148415051024630040e-01,1.574207525512315020e-01,-2.098943367349753730e-01,-2.084443235716319787e-01,3.148415051024630040e-01,-4.197886734699507461e-01,4.197886734699507461e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-1.696697440697990000e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
4.798201476340008265e-02,-6.042253716906318198e-03,-1.566978873141547046e+00,-4.028169144604212132e-03,-1.046449397025835532e-01,6.042253716906318198e-03,3.131943661710791638e+00,8.056338289208424264e-03,-3.238381328706005369e-01,1.619190664353002684e-01,-2.158920885804004319e-01,-2.099842441011014749e-01,3.238381328706005369e-01,-4.317841771608008639e-01,4.317841771608008639e-01,-9.000000000000000000e+00,4.500000000000000000e+00,-6.000000000000000000e+00,-1.384314532082102644e+00,9.000000000000000000e+00,-1.200000000000000000e+01,1.200000000000000000e+01
