t,q1,q2,q3,q4,q5,q6,q7,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot7,u1,u2,u3,u4,u5,u6,u7
2.700000000000000178e-01,2.554124114146097312e-11,-1.514752774253161238e+00,-5.998553291276116817e-11,-7.000000000000000666e-02,3.222888380099751849e-11,3.158841339552009853e+00,2.044789948047552958e-11,2.585826116606126892e-10,5.593295894078813557e-01,-6.073007837217488491e-10,-6.171096363572050603e-01,3.262891140650204391e-10,1.907519983684081433e-01,2.070170052171787992e-10,2.585826116606126892e-10,5.593295894078813557e-01,-6.073007837217488491e-10,-6.171096363572050603e-01,3.262891140650204391e-10,1.907519983684081433e-01,2.070170052171787992e-10
2.800000000000000266e-01,2.820516706227490043e-11,-1.508990543831196351e+00,-6.624196403586519920e-11,-7.000000000000000666e-02,3.559032416643882984e-11,3.160806472434059877e+00,2.258059495719661718e-11,2.742341157289618812e-10,5.931847248632209357e-01,-6.440595225483488513e-10,-6.544620860135617058e-01,3.460387614347728284e-10,2.022978469439782045e-01,2.195473431179606647e-10,2.742341157289618812e-10,5.931847248632209357e-01,-6.440595225483488513e-10,-6.544620860135617058e-01,3.460387614347728284e-10,2.022978469439782045e-01,2.195473431179606647e-10
2.899999999999999800e-01,3.102651477431743096e-11,-1.502887800699245879e+00,-7.286811211934044742e-11,-7.000000000000000666e-02,3.915040517699021657e-11,3.162887732696333831e+00,2.483931974256604855e-11,2.900630290259513329e-10,6.274236070460581516e-01,-6.812349203409203498e-10,-6.922379243265243121e-01,3.660122703382464469e-10,2.139745672926919029e-01,2.322197119425357004e-10,2.900630290259513329e-10,6.274236070460581516e-01,-6.812349203409203498e-10,-6.922379243265243121e-01,3.660122703382464469e-10,2.139745672926919029e-01,2.322197119425357004e-10
2.999999999999999889e-01,3.400694083073688020e-11,-1.496440961634190714e+00,-7.986786770330785461e-11,-7.000000000000000666e-02,4.291121713275225365e-11,3.165086342349938242e+00,2.722540004591222035e-11,3.060459124512966216e-10,6.619955357865168200e-01,-7.187719286030423945e-10,-7.303812136807974476e-01,3.861800644508107351e-10,2.257648687885844274e-01,2.450153467309758748e-10,3.060459124512966216e-10,6.619955357865168200e-01,-7.187719286030423945e-10,-7.303812136807974476e-01,3.861800644508107351e-10,2.257648687885844274e-01,2.450153467309758748e-10
3.099999999999999978e-01,3.714786945549894021e-11,-1.489646945954770541e+00,-8.724457568526464553e-11,-7.000000000000000666e-02,4.687455717226033271e-11,3.167403352020690122e+00,2.973997607762377694e-11,3.221597392687819875e-10,6.968507028827607419e-01,-7.566164673064389612e-10,-7.688370005714983968e-01,4.065130877840859037e-10,2.376517649996569836e-01,2.579158126552753291e-10,3.221597392687819875e-10,6.968507028827607419e-01,-7.566164673064389612e-10,-7.688370005714983968e-01,4.065130877840859037e-10,2.376517649996569836e-01,2.579158126552753291e-10
3.200000000000000067e-01,4.045049666702759756e-11,-1.482503166601903066e+00,-9.500104500476619907e-11,-7.000000000000000666e-02,5.104193447584743861e-11,3.169839643991056111e+00,3.238400535046898798e-11,3.383818951062614704e-10,7.319401921009955903e-01,-7.947154248909803988e-10,-8.075513156041581597e-01,4.269828046859441226e-10,2.496185736878774042e-01,2.709030050193507134e-10,3.383818951062614704e-10,7.319401921009955903e-01,-7.947154248909803988e-10,-8.075513156041581597e-01,4.269828046859441226e-10,2.496185736878774042e-01,2.709030050193507134e-10
3.300000000000000155e-01,4.391579440184567010e-11,-1.475007521219004136e+00,-1.031395583281072344e-10,-7.000000000000000666e-02,5.541457546900644129e-11,3.172395935242092069e+00,3.515826598091485462e-11,3.546901779556577728e-10,7.672159791754666891e-01,-8.330166582646817752e-10,-8.464711734947200084e-01,4.475611998405082799e-10,2.616489168091795103e-01,2.839591492590407215e-10,3.546901779556577728e-10,7.672159791754666891e-01,-8.330166582646817752e-10,-8.464711734947200084e-01,4.475611998405082799e-10,2.616489168091795103e-01,2.839591492590407215e-10
3.400000000000000244e-01,4.754451463821556332e-11,-1.467158383232306296e+00,-1.116618817330033717e-10,-7.000000000000000666e-02,5.999342902575274305e-11,3.175072780495383551e+00,3.806335999044640308e-11,3.710627981729635006e-10,8.026309318084617894e-01,-8.714689928037053588e-10,-8.855445730695420403e-01,4.682207782681533783e-10,2.737267205134638060e-01,2.970668009421068145e-10,3.710627981729635006e-10,8.026309318084617894e-01,-8.714689928037053588e-10,-8.855445730695420403e-01,4.682207782681533783e-10,2.737267205134638060e-01,2.970668009421068145e-10
3.500000000000000333e-01,5.133719351977994921e-11,-1.458954592931179572e+00,-1.205692743932725382e-10,-7.000000000000000666e-02,6.477917167198673197e-11,3.177870575254984953e+00,4.109971660688586838e-11,3.874783784782399221e-10,8.381388096703085155e-01,-9.100222223523579303e-10,-9.247204972653940702e-01,4.889345653255051389e-10,2.858362151445968946e-01,3.102088457682324970e-10,3.874783784782399221e-10,8.381388096703085155e-01,-9.100222223523579303e-10,-9.247204972653940702e-01,4.889345653255051389e-10,2.858362151445968946e-01,3.102088457682324970e-10
3.599999999999999867e-01,5.529415547920245167e-11,-1.450395448548450261e+00,-1.298624982635165164e-10,-7.000000000000000666e-02,6.977221278885629349e-11,3.180789558849358656e+00,4.426759556571192977e-11,4.039159539556179506e-10,8.736942643993759194e-01,-9.486271092230927469e-10,-9.639489131294605162e-01,5.096761067054414487e-10,2.979619352404118682e-01,3.233684995690238861e-10,4.039159539556179506e-10,8.736942643993759194e-01,-9.486271092230927469e-10,-9.639489131294605162e-01,5.096761067054414487e-10,2.979619352404118682e-01,3.233684995690238861e-10
3.699999999999999956e-01,5.941551736180840284e-11,-1.441480697340720818e+00,-1.395418277638023879e-10,-7.000000000000000666e-02,7.497269981611945126e-11,3.183829817473315504e+00,4.756709041137899140e-11,4.203549720532977305e-10,9.092528396020739256e-01,-9.872353841965086119e-10,-1.003180771819338180e+00,5.304194684370910684e-10,3.100887195327080570e-01,3.365293083080093490e-10,4.203549720532977305e-10,9.092528396020739256e-01,-9.872353841965086119e-10,-1.003180771819338180e+00,5.304194684370910684e-10,3.100887195327080570e-01,3.365293083080093490e-10
3.800000000000000044e-01,6.370119254922542509e-11,-1.432210526668689532e+00,-1.496070594643438883e-10,-7.000000000000000666e-02,8.038052345550664600e-11,3.186991287229953951e+00,5.099813179863628850e-11,4.367752925835485340e-10,9.447709708528534422e-01,-1.025799746521349875e-09,-1.042368008603037577e+00,5.511392368858344076e-10,3.222017109472511964e-01,3.496751480806395552e-10,4.367752925835485340e-10,9.447709708528534422e-01,-1.025799746521349875e-09,-1.042368008603037577e+00,5.511392368858344076e-10,3.222017109472511964e-01,3.496751480806395552e-10
3.900000000000000133e-01,6.815089508302419389e-11,-1.422585555077469532e+00,-1.600575217701829034e-10,-7.000000000000000666e-02,8.599532287408343460e-11,3.190273757172600977e+00,5.456049079384719387e-11,4.531571877227090198e-10,9.802059856942062499e-01,-1.064273863914507465e-09,-1.081463542858982496e+00,5.718105187533031113e-10,3.342863566037733158e-01,3.627902251142876831e-10,4.531571877227090198e-10,9.802059856942062499e-01,-1.064273863914507465e-09,-1.081463542858982496e+00,5.718105187533031113e-10,3.342863566037733158e-01,3.627902251142876831e-10
4.000000000000000222e-01,7.276414378835909729e-11,-1.412606823376909126e+00,-1.708920846058709778e-10,-7.000000000000000666e-02,9.181649090761291758e-11,3.193676872346749018e+00,5.825378217630842105e-11,4.694813420111869744e-10,1.015516103636665113e+00,-1.102612372561016928e-09,-1.120421278076009663e+00,5.924089410773804736e-10,3.463284078159727941e-01,3.758590757682492129e-10,4.694813420111869744e-10,1.015516103636665113e+00,-1.102612372561016928e-09,-1.120421278076009663e+00,5.924089410773804736e-10,3.463284078159727941e-01,3.758590757682492129e-10
4.100000000000000311e-01,7.754026639760903109e-11,-1.402275785721911472e+00,-1.821091691001508250e-10,-7.000000000000000666e-02,9.784317926391839937e-11,3.197200136831999107e+00,6.207746773956931139e-11,4.857288523534597257e-10,1.050660436158804112e+00,-1.140770877114060699e-09,-1.159196101853370076e+00,6.129106512322010241e-10,3.583139200915144706e-01,3.888665665337420307e-10,4.857288523534597257e-10,1.050660436158804112e+00,-1.140770877114060699e-09,-1.159196101853370076e+00,6.129106512322010241e-10,3.583139200915144706e-01,3.888665665337420307e-10
4.199999999999999845e-01,8.247840367401784513e-11,-1.391594300692753139e+00,-1.937067572706374225e-10,-7.000000000000000666e-02,1.040743037262455444e-10,3.200842916783996905e+00,6.603085959275083043e-11,5.018812280180731089e-10,1.085598986707237090e+00,-1.178705950694965416e-09,-1.197743885900725891e+00,6.332923169281505277e-10,3.702292531320290903e-01,4.017978940339060659e-10,5.018812280180731089e-10,1.085598986707237090e+00,-1.178705950694965416e-09,-1.197743885900725891e+00,6.332923169281505277e-10,3.702292531320290903e-01,4.017978940339060659e-10
4.299999999999999933e-01,8.757751353533542275e-11,-1.380564622375404449e+00,-2.056824017085002965e-10,-7.000000000000000666e-02,1.105085493566254640e-10,3.204604443476375408e+00,7.011312346186519099e-11,5.179203906376436384e-10,1.120292650696620873e+00,-1.216375134893206053e-09,-1.236021486038155759e+00,6.535311262118669154e-10,3.820610708331145799e-01,4.146385850238044289e-10,5.179203906376436384e-10,1.120292650696620873e+00,-1.216375134893206053e-09,-1.236021486038155759e+00,6.535311262118669154e-10,3.820610708331145799e-01,4.146385850238044289e-10
4.400000000000000022e-01,9.283637517745797196e-11,-1.369189391441849368e+00,-2.180332352631438681e-10,-7.000000000000000666e-02,1.171443756992366008e-10,3.208483816342693640e+00,7.432328199113466864e-11,5.338286742088555084e-10,1.154703215509650827e+00,-1.253736939766400547e-09,-1.273986742196148381e+00,6.736047874662385264e-10,3.937963412843341615e-01,4.273744963904214982e-10,5.338286742088555084e-10,1.154703215509650827e+00,-1.253736939766400547e-09,-1.273986742196148381e+00,6.736047874662385264e-10,3.937963412843341615e-01,4.273744963904214982e-10
4.500000000000000111e-01,9.825359319806896282e-11,-1.357471626230404294e+00,-2.307559807268897898e-10,-7.000000000000000666e-02,1.239800219837677382e-10,3.212480006018374912e+00,7.866021804431105677e-11,5.495888250924631787e-10,1.188793360497065077e+00,-1.290750843840313931e-09,-1.311598478415607394e+00,6.934915294104055558e-10,4.054223367692181279e-01,4.399918151526648334e-10,5.495888250924631787e-10,1.188793360497065077e+00,-1.290750843840313931e-09,-1.311598478415607394e+00,6.934915294104055558e-10,4.054223367692181279e-01,4.399918151526648334e-10
4.600000000000000200e-01,1.038276017202797804e-10,-1.345414713826038389e+00,-2.438469605196581184e-10,-7.000000000000000666e-02,1.310135123287802600e-10,3.216591857382649078e+00,8.312267800599486329e-11,5.651840020132906503e-10,1.222526656977643400e+00,-1.327377294108858543e-09,-1.348816502847851151e+00,7.131701010997607781e-10,4.169266337652633436e-01,4.524770584613645546e-10,5.651840020132906503e-10,1.222526656977643400e+00,-1.327377294108858543e-09,-1.348816502847851151e+00,7.131701010997607781e-10,4.169266337652633436e-01,4.524770584613645546e-10
4.700000000000000289e-01,1.095566685162702487e-10,-1.333022401140692370e+00,-2.573021063736483332e-10,-7.000000000000000666e-02,1.382426609450705903e-10,3.220818092600489457e+00,8.770927508295437802e-11,5.805977760602295012e-10,1.255867568238202558e+00,-1.363577706034088441e-09,-1.385601607754606945e+00,7.326197719259455151e-10,4.282971129439317459e-01,4.648170735992717914e-10,5.805977760602295012e-10,1.255867568238202558e+00,-1.363577706034088441e-09,-1.385601607754606945e+00,7.326197719259455151e-10,4.282971129439317459e-01,4.648170735992717914e-10
4.799999999999999822e-01,1.154388991309297229e-10,-1.320298785993599067e+00,-2.711169690180219309e-10,-7.000000000000000666e-02,1.456650773390331260e-10,3.225157314164555089e+00,9.241849260544524417e-11,5.958141306862426086e-10,1.288781449533605405e+00,-1.399314463546207674e-09,-1.421915569508020338e+00,7.518203316168554260e-10,4.395219591706530649e-01,4.769990379810616816e-10,5.958141306862426086e-10,1.288781449533605405e+00,-1.399314463546207674e-09,-1.421915569508020338e+00,7.518203316168554260e-10,4.395219591706530649e-01,4.769990379810616816e-10
4.899999999999999911e-01,1.214722410054972254e-10,-1.307248308191601982e+00,-2.852867278635823840e-10,-7.000000000000000666e-02,1.532781715160221207e-10,3.229608007937128100e+00,9.724868732852921552e-11,6.108174617083605298e-10,1.321234548086751559e+00,-1.434550919043562840e-09,-1.457721148590646276e+00,7.707520902366358542e-10,4.505896615048222698e-01,4.890104591533305279e-10,6.108174617083605298e-10,1.321234548086751559e+00,-1.434550919043562840e-09,-1.457721148590646276e+00,7.707520902366358542e-10,4.505896615048222698e-01,4.890104591533305279e-10
